           0            0           -0 -1.22465e-16            1
         0.2            0            0  6.94173e-16            1
         0.4            0            0  7.34994e-16            1
         0.6            0            0            0            1
         0.8            0            0            0            1
           1            0            0            0            1
         1.2            0            0            0            1
         1.4            0            0            0            1
         1.6            0            0            0            1
         1.8            0            0            0            1
           2            0            0            0            1
         2.2            0            0            0            1
         2.4            0            0            0            1
         2.6            0            0  2.66337e-06            1
         2.8            0            0  1.19857e-05            1
           3            0            0  2.79671e-05            1
         3.2            0            0  5.99401e-05            1
         3.4            0            0  9.99255e-05            1
         3.6            0            0  0.000147923            1
         3.8            0            0  0.000212017            1
           4            0            0  0.000284223            1
         4.2            0            0  0.000364539            1
         4.4            0            0  0.000461272            1
         4.6            0            0  0.000566355            1
         4.8            0            0  0.000679787            1
           5            0            0  0.000805612            1
         5.2            0            0  0.000928429            1
         5.4            0            0   0.00104824     0.999999
         5.6            0            0   0.00115745     0.999999
         5.8            0            0   0.00126138     0.999999
           6            0            0   0.00136002     0.999999
         6.2            0            0   0.00144803     0.999999
         6.4            0            0   0.00153066     0.999999
         6.6            0            0   0.00160791     0.999999
         6.8            0            0   0.00167426     0.999999
           7            0            0   0.00173504     0.999998
         7.2            0            0   0.00179025     0.999998
         7.4            0            0   0.00183595     0.999998
         7.6            0            0   0.00188055     0.999998
         7.8            0            0   0.00192405     0.999998
           8            0            0    0.0019672     0.999998
         8.2            0            0   0.00201016     0.999998
         8.4            0            0   0.00205294     0.999998
         8.6            0            0   0.00209534     0.999998
         8.8            0            0   0.00213754     0.999998
           9            0            0   0.00217954     0.999998
         9.2            0            0   0.00222113     0.999998
         9.4            0            0    0.0022625     0.999997
         9.6            0            0   0.00230365     0.999997
         9.8            0            0   0.00234454     0.999997
          10            0            0   0.00238575     0.999997
        10.2            0            0   0.00242725     0.999997
        10.4            0            0   0.00246959     0.999997
        10.6            0            0   0.00251236     0.999997
        10.8            0            0   0.00255554     0.999997
          11            0            0   0.00259959     0.999997
        11.2            0            0   0.00264408     0.999997
        11.4            0            0   0.00268899     0.999996
        11.6            0            0    0.0027348     0.999996
        11.8            0            0   0.00278104     0.999996
          12            0            0   0.00282773     0.999996
        12.2            0            0   0.00287489     0.999996
        12.4            0            0   0.00292139     0.999996
        12.6            0            0   0.00296723     0.999996
        12.8            0            0   0.00301129     0.999995
          13            0            0   0.00305441     0.999995
        13.2            0            0   0.00309661     0.999995
        13.4            0            0   0.00313689     0.999995
        13.6            0            0   0.00317618     0.999995
        13.8            0            0   0.00321447     0.999995
          14            0            0   0.00325071     0.999995
        14.2            0            0   0.00328588     0.999995
        14.4            0            0   0.00331999     0.999994
        14.6            0            0   0.00335237     0.999994
        14.8            0            0   0.00338483     0.999994
          15            0            0   0.00341735     0.999994
        15.2            0            0   0.00345049     0.999994
        15.4            0            0   0.00348395     0.999994
        15.6            0            0   0.00351773     0.999994
        15.8            0            0   0.00355214     0.999994
          16            0            0   0.00358687     0.999994
        16.2            0            0   0.00362192     0.999993
        16.4            0            0   0.00365763     0.999993
        16.6            0            0   0.00369366     0.999993
        16.8            0            0   0.00373003     0.999993
          17            0            0   0.00376689     0.999993
        17.2            0            0   0.00380368     0.999993
        17.4            0            0   0.00384039     0.999993
        17.6            0            0   0.00387672     0.999992
        17.8            0            0   0.00391284     0.999992
          18            0            0   0.00394875     0.999992
        18.2            0            0   0.00398417     0.999992
        18.4            0            0   0.00401931     0.999992
        18.6            0            0   0.00405417     0.999992
        18.8            0            0   0.00408842     0.999992
          19            0            0   0.00412232     0.999992
        19.2            0            0   0.00415588     0.999991
        19.4            0            0    0.0041889     0.999991
        19.6            0            0   0.00422206     0.999991
        19.8            0            0   0.00425536     0.999991
          20            0            0   0.00428918     0.999991
        20.2            0            0   0.00432326     0.999991
        20.4            0            0   0.00435761     0.999991
        20.6            0            0   0.00439251      0.99999
        20.8            0            0    0.0044277      0.99999
          21            0            0   0.00446318      0.99999
        21.2            0            0   0.00449924      0.99999
        21.4            0            0   0.00453562      0.99999
        21.6            0            0    0.0045723      0.99999
        21.8            0            0   0.00460912     0.999989
          22            0            0   0.00464502     0.999989
        22.2            0            0      0.00468     0.999989
        22.4            0            0   0.00471256     0.999989
        22.6            0            0   0.00474387     0.999989
        22.8            0            0   0.00477393     0.999989
          23            0            0   0.00480138     0.999988
        23.2            0            0   0.00482749     0.999988
        23.4            0            0   0.00485225     0.999988
        23.6            0            0   0.00487422     0.999988
        23.8            0            0   0.00489476     0.999988
          24            0            0   0.00491387     0.999988
        24.2            0            0   0.00493043     0.999988
        24.4            0            0   0.00494653     0.999988
        24.6            0            0   0.00496216     0.999988
        24.8            0            0   0.00497724     0.999988
          25            0            0   0.00499201     0.999988
        25.2            0            0   0.00500648     0.999987
        25.4            0            0    0.0050203     0.999987
        25.6            0            0   0.00503378     0.999987
        25.8            0            0   0.00504692     0.999987
          26            0            0   0.00505932     0.999987
        26.2            0            0   0.00507133     0.999987
        26.4            0            0   0.00508295     0.999987
        26.6            0            0   0.00509371     0.999987
        26.8            0            0   0.00510396     0.999987
          27            0            0   0.00511369     0.999987
        27.2            0            0   0.00512242     0.999987
        27.4            0            0   0.00513069     0.999987
        27.6            0            0    0.0051385     0.999987
        27.8            0            0   0.00514547     0.999987
          28            0            0   0.00515206     0.999987
        28.2            0            0   0.00515827     0.999987
        28.4            0            0   0.00516381     0.999987
        28.6            0            0   0.00516907     0.999987
        28.8            0            0   0.00517403     0.999987
          29            0            0   0.00517845     0.999987
        29.2            0            0   0.00518241     0.999987
        29.4            0            0   0.00518593     0.999987
        29.6            0            0   0.00518819     0.999987
        29.8            0            0   0.00518963     0.999987
          30            0            0   0.00519028     0.999987
        30.2            0            0   0.00518896     0.999987
        30.4            0            0   0.00518649     0.999987
        30.6            0            0   0.00518286     0.999987
        30.8            0            0   0.00517657     0.999987
          31            0            0   0.00516877     0.999987
        31.2            0            0   0.00515945     0.999987
        31.4            0            0    0.0051459     0.999987
        31.6            0            0    0.0051284     0.999987
        31.8            0            0   0.00510696     0.999987
          32            0            0   0.00507706     0.999987
        32.2            0            0   0.00504312     0.999987
        32.4            0            0   0.00500512     0.999987
        32.6            0            0   0.00495942     0.999988
        32.8            0            0   0.00491005     0.999988
          33            0            0   0.00485703     0.999988
        33.2            0            0   0.00479706     0.999988
        33.4            0            0    0.0047338     0.999989
        33.6            0            0   0.00466727     0.999989
        33.8            0            0   0.00459401     0.999989
          34            0            0    0.0045166      0.99999
        34.2            0            0   0.00443502      0.99999
        34.4            0            0   0.00434524     0.999991
        34.6            0            0   0.00425166     0.999991
        34.8            0            0   0.00415426     0.999991
          35            0            0   0.00404978     0.999992
        35.2            0            0   0.00394198     0.999992
        35.4            0            0   0.00383086     0.999993
        35.6            0            0   0.00371343     0.999993
        35.8            0            0   0.00359296     0.999994
          36            0            0   0.00346947     0.999994
        36.2            0            0   0.00334146     0.999994
        36.4            0            0   0.00321395     0.999995
        36.6            0            0   0.00308694     0.999995
        36.8            0            0   0.00296162     0.999996
          37            0            0   0.00283677     0.999996
        37.2            0            0   0.00271238     0.999996
        37.4            0            0   0.00258817     0.999997
        37.6            0            0   0.00246369     0.999997
        37.8            0            0   0.00233893     0.999997
          38            0            0   0.00221291     0.999998
        38.2            0            0   0.00208591     0.999998
        38.4            0            0   0.00195794     0.999998
        38.6            0            0   0.00182864     0.999998
        38.8            0            0   0.00170099     0.999999
          39            0            0   0.00157501     0.999999
        39.2            0            0   0.00145337     0.999999
        39.4            0            0   0.00133379     0.999999
        39.6            0            0   0.00121627     0.999999
        39.8            0            0   0.00110273     0.999999
          40            0            0  0.000991124            1
        40.2            0            0  0.000881456            1
        40.4            0            0  0.000775618            1
        40.6            0            0  0.000671704            1
        40.8            0            0  0.000569713            1
          41            0            0  0.000469911            1
        41.2            0            0  0.000367707            1
        41.4            0            0  0.000263101            1
        41.6            0            0  0.000151585            1
        41.8            0            0  3.64389e-05            1
          42            0           -0 -8.23384e-05            1
        42.2            0           -0 -0.000208636            1
        42.4            0           -0 -0.000338765            1
        42.6            0           -0 -0.000472725            1
        42.8            0           -0 -0.000614345            1
          43            0           -0 -0.000759707            1
        43.2            0           -0 -0.000908811            1
        43.4            0           -0  -0.00106492     0.999999
        43.6            0           -0  -0.00122413     0.999999
        43.8            0           -0  -0.00138644     0.999999
          44            0           -0  -0.00155475     0.999999
        44.2            0           -0  -0.00172609     0.999999
        44.4            0           -0  -0.00190046     0.999998
        44.6            0           -0  -0.00208105     0.999998
        44.8            0           -0  -0.00226492     0.999997
          45            0           -0  -0.00245205     0.999997
        45.2            0           -0  -0.00264617     0.999996
        45.4            0           -0   -0.0028441     0.999996
        45.6            0           -0  -0.00304584     0.999995
        45.8            0           -0  -0.00325499     0.999995
          46            0           -0  -0.00346611     0.999994
        46.2            0           -0  -0.00367921     0.999993
        46.4            0           -0  -0.00389539     0.999992
        46.6            0           -0  -0.00411316     0.999992
        46.8            0           -0  -0.00433254     0.999991
          47            0           -0  -0.00455522      0.99999
        47.2            0           -0  -0.00477962     0.999989
        47.4            0           -0  -0.00500574     0.999987
        47.6            0           -0  -0.00523542     0.999986
        47.8            0           -0  -0.00546695     0.999985
          48            0           -0  -0.00570032     0.999984
        48.2            0           -0  -0.00593658     0.999982
        48.4            0           -0  -0.00617233     0.999981
        48.6            0           -0  -0.00640759     0.999979
        48.8            0           -0  -0.00664052     0.999978
          49            0           -0  -0.00687205     0.999976
        49.2            0           -0  -0.00710217     0.999975
        49.4            0           -0  -0.00732896     0.999973
        49.6            0           -0  -0.00755378     0.999971
        49.8            0           -0  -0.00777665      0.99997
          50            0           -0  -0.00799496     0.999968
        50.2            0           -0  -0.00821065     0.999966
